AveragePrice,Total Volume,type,region,month
1.37,90867.51,0,5,12
1.35,98473.23,0,5,12
1.23,108457.82,0,5,12
1.39,79973.14,0,5,11
1.4,90242.31,0,5,11
1.36,99703.72,0,5,11
1.3,111038.95,0,5,11
1.23,118541.11,0,5,11
1.36,99554.55,0,5,10
1.29,106083.75,0,5,10
1.3,109153.84,0,5,10
1.33,98900.48,0,5,10
1.31,90745.72,0,5,9
1.54,60624.47,0,5,9
1.59,73043.2,0,5,9
1.56,76139.58,0,5,9
1.38,83731.42,0,5,8
1.49,68953.29,0,5,8
1.5,69798.09,0,5,8
1.47,81830.13,0,5,8
1.47,78162.92,0,5,8
1.39,91825.07,0,5,7
1.36,128846.15,0,5,7
1.45,127351.46,0,5,7
1.47,140413.9,0,5,7
1.36,137246.7,0,5,6
1.5,108655.36,0,5,6
1.34,149376.79,0,5,6
1.38,130908.11,0,5,6
1.4,130841.08,0,5,5
1.43,121942.61,0,5,5
1.35,137050.23,0,5,5
1.33,170547.18,0,5,5
1.42,136771.79,0,5,5
1.41,136964.3,0,5,4
1.42,139612.52,0,5,4
1.42,118172.53,0,5,4
1.44,124145.62,0,5,4
1.39,119890.65,0,5,3
1.4,119902.96,0,5,3
1.47,103413.11,0,5,3
1.35,125724.96,0,5,3
1.43,112363.86,0,5,3
1.41,109546.92,0,5,2
1.44,100207.14,0,5,2
1.36,132760.1,0,5,2
1.33,153920.35,0,5,2
1.5,114052.94,0,5,1
1.52,107040.29,0,5,1
1.54,106221.32,0,5,1
1.4,116253.44,0,5,1
0.9,5040365.47,0,6,12
0.94,4695737.21,0,6,12
0.87,5259354.3,0,6,12
0.78,5775536.27,0,6,12
0.91,4575710.62,0,6,11
0.92,4804278.16,0,6,11
0.83,5755190.69,0,6,11
0.98,5148983.51,0,6,11
0.95,5830427.96,0,6,11
1.12,4592461.81,0,6,10
1.07,4999031.79,0,6,10
1.08,5063309.38,0,6,10
1.02,4943781.29,0,6,10
1.04,5216784.63,0,6,9
1.14,4759791.13,0,6,9
1.13,5106508.12,0,6,9
1.09,5806392.78,0,6,9
1.08,5647385.15,0,6,8
1.18,5193221.0,0,6,8
1.11,5616434.08,0,6,8
1.1,6232081.27,0,6,8
1.16,5428238.87,0,6,8
1.13,5557616.27,0,6,7
